Date,Hour,Day,Traffic_Volume,Average_Speed,Weather,Distance_km,Travel_Time_min
2026-08-01,8,Saturday,1200,35,Clear,10,22
2026-08-01,9,Saturday,1650,28,Clear,10,27
2026-08-01,10,Saturday,1400,32,Clear,10,24
2026-08-01,13,Saturday,900,45,Clear,10,18
2026-08-01,17,Saturday,1800,25,Clear,10,30
2026-08-01,18,Saturday,2100,20,Rain,10,36
2026-08-02,8,Sunday,800,45,Clear,10,18
2026-08-02,9,Sunday,950,42,Clear,10,19
2026-08-02,13,Sunday,700,50,Clear,10,16
2026-08-02,17,Sunday,1100,38,Clear,10,21
2026-08-02,18,Sunday,1300,34,Rain,10,24
2026-08-03,8,Monday,1900,24,Clear,10,32
2026-08-03,9,Monday,2200,20,Clear,10,38
2026-08-03,10,Monday,1700,27,Clear,10,29
2026-08-03,13,Monday,1200,35,Clear,10,22
2026-08-03,17,Monday,2300,19,Clear,10,40
2026-08-03,18,Monday,2600,16,Rain,10,48
2026-08-04,8,Tuesday,2000,23,Clear,10,33
2026-08-04,9,Tuesday,2250,19,Rain,10,40
2026-08-04,13,Tuesday,1250,34,Clear,10,23
2026-08-04,17,Tuesday,2400,18,Clear,10,42
2026-08-04,18,Tuesday,2700,15,Rain,10,50
2026-08-05,8,Wednesday,1950,25,Clear,10,31
2026-08-05,9,Wednesday,2150,21,Clear,10,36
2026-08-05,13,Wednesday,1100,37,Clear,10,21
2026-08-05,17,Wednesday,2350,19,Clear,10,40
2026-08-05,18,Wednesday,2500,17,Rain,10,46
2026-08-06,8,Thursday,1850,26,Clear,10,30
2026-08-06,9,Thursday,2050,22,Rain,10,37
2026-08-06,13,Thursday,1150,36,Clear,10,21
2026-08-06,17,Thursday,2200,21,Clear,10,37
2026-08-06,18,Thursday,2450,18,Rain,10,44
